2023_10_25__17_11_42: Server: file 'D:/Banfi/Github/fluently/Code/TCPServer/logs/TCPServer_2023_10_25__17_11_42.txt' created successfully. 
2023_10_25__17_11_42: 197 Server: listening on port 22
2023_10_25__17_11_44: 212 Server: start receive data, blocking
2023_10_25__17_11_44: 222 Server: received whisper message: [whisper]:  Well, this is all I see
2023_10_25__17_11_44: 227 Server: filtered whisper message: [whisper]  well this is all i see
2023_10_25__17_11_44: 231 Server: saved cmd file to: D:/Banfi/Commands/cmdForSikulix/ROSClientCommand.txt
2023_10_25__17_11_44: 357 Server: send msg: Error: cmd not recognized
2023_10_25__17_11_44: 212 Server: start receive data, blocking
2023_10_25__17_11_52: 222 Server: received whisper message: [whisper]:  Scanner start.
2023_10_25__17_11_52: 227 Server: filtered whisper message: [whisper]  scanner start
2023_10_25__17_11_52: 231 Server: saved cmd file to: D:/Banfi/Commands/cmdForSikulix/ROSClientCommand.txt
2023_10_25__17_11_53: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_11_54: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_11_55: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_11_56: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_11_57: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_11_58: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_11_59: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_00: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_01: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_02: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_03: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_04: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_05: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_06: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_07: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_08: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_09: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_10: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_11: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_12: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_14: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_15: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_16: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_17: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_18: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_19: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_20: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_21: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_22: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_23: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_24: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_25: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_26: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
