2023_10_25__17_19_13: Server: file 'D:/Banfi/Github/fluently/Code/TCPServer/logs/TCPServer_2023_10_25__17_19_13.txt' created successfully. 
2023_10_25__17_19_13: 197 Server: listening on port 22
2023_10_25__17_19_14: 212 Server: start receive data, blocking
2023_10_25__17_19_38: 222 Server: received whisper message: [whisper]:  Scanner start.
2023_10_25__17_19_38: 227 Server: filtered whisper message: [whisper]  scanner start
2023_10_25__17_19_38: 231 Server: saved cmd file to: D:/Banfi/Commands/cmdForSikulix/ROSClientCommand.txt
2023_10_25__17_19_39: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_19_40: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_19_41: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_19_42: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_19_43: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_19_44: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_19_45: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_19_46: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_19_47: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_19_48: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_19_49: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_19_50: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_19_51: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_19_52: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_19_53: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_19_54: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_19_55: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_19_56: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_19_57: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_19_58: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_20_00: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_20_01: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_20_02: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
