2023_10_26__10_28_30: Server: file 'D:/Banfi/Github/fluently/Code/TCPServer/logs/TCPServer_2023_10_26__10_28_30.txt' created successfully. 
2023_10_26__10_28_30: 197 Server: listening on port 22
2023_10_26__10_28_33: 212 Server: start receive data, blocking
2023_10_26__10_28_52: 222 Server: received whisper message: [whisper]:  Scanner start
2023_10_26__10_28_52: 227 Server: filtered whisper message: [whisper]  scanner start
2023_10_26__10_28_52: 231 Server: saved cmd file to: D:/Banfi/Commands/cmdForSikulix/ROSClientCommand.txt
2023_10_26__10_28_53: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_28_54: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_28_55: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_28_56: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_28_57: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_28_58: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_28_59: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_29_00: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_29_01: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_29_02: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_29_03: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_29_04: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_29_05: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_29_06: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_29_07: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_29_08: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_29_09: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_29_10: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_29_11: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_29_12: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_29_13: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_29_14: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
