2023_10_25__18_16_30: Server: file 'D:/Banfi/Github/fluently/Code/TCPServer/logs/TCPServer_2023_10_25__18_16_30.txt' created successfully. 
2023_10_25__18_16_30: 197 Server: listening on port 22
2023_10_25__18_16_31: 212 Server: start receive data, blocking
2023_10_25__18_16_45: 222 Server: received whisper message: [whisper]: 
2023_10_25__18_16_45: 227 Server: filtered whisper message: [whisper] 
2023_10_25__18_16_45: 231 Server: saved cmd file to: D:/Banfi/Commands/cmdForSikulix/ROSClientCommand.txt
2023_10_25__18_16_45: 357 Server: send msg: Error: cmd not recognized
2023_10_25__18_16_45: 212 Server: start receive data, blocking
2023_10_25__18_16_54: 222 Server: received whisper message: [whisper]:  Scanner start.
2023_10_25__18_16_54: 227 Server: filtered whisper message: [whisper]  scanner start
2023_10_25__18_16_54: 231 Server: saved cmd file to: D:/Banfi/Commands/cmdForSikulix/ROSClientCommand.txt
2023_10_25__18_16_55: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_16_56: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_16_57: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_16_58: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_16_59: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_00: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_01: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_02: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_03: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_04: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_05: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_06: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_07: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_08: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_09: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_10: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_11: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_12: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_13: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_14: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_15: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_16: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_17: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_18: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_19: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_20: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_21: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_22: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_23: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_24: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_25: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_26: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_27: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_28: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_29: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_30: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_31: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_32: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_33: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_34: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_35: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_36: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_37: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_38: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_39: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_40: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_41: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_42: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_43: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_44: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_46: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_47: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_48: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_49: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_50: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_51: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_52: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_53: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_54: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_55: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_56: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_57: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_58: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_17_59: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_00: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_01: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_02: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_03: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_04: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_05: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_06: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_07: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_08: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_09: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_10: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_11: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_12: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_13: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_14: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_15: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_16: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_17: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_18: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_19: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_20: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_21: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_22: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_23: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_24: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_25: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_26: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_27: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_28: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_29: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_30: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_31: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_32: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_33: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_34: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_35: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_36: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_37: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_38: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_39: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_40: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_41: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_42: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_43: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_44: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_45: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_46: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_47: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_48: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_49: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_50: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_51: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_52: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_53: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_54: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_55: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_56: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_57: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_58: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_18_59: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_00: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_01: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_02: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_03: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_04: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_05: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_06: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_07: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_08: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_09: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_10: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_11: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_12: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_13: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_14: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_15: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_16: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_17: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_18: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_19: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_20: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_21: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_22: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_23: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_24: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_25: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_26: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_27: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_28: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_29: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_30: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_32: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_33: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_34: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_35: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_36: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_37: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_38: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_39: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_40: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_41: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_42: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_43: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_44: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_45: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_46: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_47: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_48: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_49: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_50: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_51: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_52: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_53: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_54: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_55: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_56: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_57: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_58: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_19_59: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_00: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_01: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_02: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_03: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_04: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_05: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_06: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_07: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_08: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_09: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_10: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_11: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_12: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_13: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_14: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_15: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_16: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_17: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_18: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_19: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_20: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_21: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_22: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_23: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_24: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_25: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_26: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_27: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_28: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_29: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_30: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_31: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_32: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_20_33: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
