2023_10_25__19_03_16: Server: file 'D:/Banfi/Github/fluently/Code/TCPServer/logs/TCPServer_2023_10_25__19_03_16.txt' created successfully. 
2023_10_25__19_03_16: 197 Server: listening on port 22
2023_10_25__19_03_19: 212 Server: start receive data, blocking
2023_10_25__19_03_30: 222 Server: received whisper message: [whisper]:  Scanner start.
2023_10_25__19_03_30: 227 Server: filtered whisper message: [whisper]  scanner start
2023_10_25__19_03_30: 231 Server: saved cmd file to: D:/Banfi/Commands/cmdForSikulix/ROSClientCommand.txt
2023_10_25__19_03_31: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__19_03_33: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__19_03_34: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__19_03_35: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__19_03_36: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__19_03_37: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__19_03_38: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__19_03_39: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__19_03_40: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__19_03_41: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__19_03_42: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__19_03_43: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__19_03_44: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__19_03_45: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__19_03_46: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__19_03_47: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__19_03_48: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__19_03_49: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__19_03_50: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__19_03_51: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__19_03_52: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__19_03_53: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__19_03_54: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__19_03_55: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__19_03_56: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
